Data Medicao,Dia do Mês,Dia da Semana,Mês,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)"
30/12/2009,30,4,12,0,"31,8","26,888",22,76,55
31/12/2009,31,5,12,"0,4","32,5","27,358","22,3","75,833",50
01/01/2010,1,6,1,"0,2","31,4","26,158","22,9","82,417",61
02/01/2010,2,7,1,"3,6","31,8","26,792","23,5","77,417",51
03/01/2010,3,1,1,"9,4","31,9","26,258","22,2","78,833",55
04/01/2010,4,2,1,"6,2","29,4","26,15",24,"82,125",65
05/01/2010,5,3,1,4,"31,1","26,25","22,4","79,125",48
06/01/2010,6,4,1,0,"31,2","26,467","22,7","75,333",49
07/01/2010,7,5,1,0,"32,2","26,433","21,2","76,667",53
08/01/2010,8,6,1,"1,6","31,4","27,908","25,3","73,333",57
09/01/2010,9,7,1,"0,8","29,9","26,525","23,7","78,375",62
10/01/2010,10,1,1,"29,2","28,9","26,171","22,7","81,375",68
11/01/2010,11,2,1,"1,4","29,5","25,821","23,8","84,125",65
12/01/2010,12,3,1,3,"30,5","26,213","22,8","80,292",60
13/01/2010,13,4,1,0,"31,2","26,068","21,9","78,636",52
14/01/2010,14,5,1,0,"31,6","26,838","22,6","75,458",50
15/01/2010,15,6,1,0,"31,3","26,683","22,3","77,542",57
16/01/2010,16,7,1,8,"29,7","26,258","24,3","84,625",67
17/01/2010,17,1,1,"11,8","28,4","24,792","23,4","89,542",72
18/01/2010,18,2,1,"32,4","29,4","25,542","22,6","84,167",62
19/01/2010,19,3,1,0,"28,6",25,"22,3","88,042",69
20/01/2010,20,4,1,"3,8","29,5","24,654","22,5","90,042",72
21/01/2010,21,5,1,"2,2","29,7","25,396","22,2","87,375",68
22/01/2010,22,6,1,30,"30,8","26,583","22,6","78,917",55
23/01/2010,23,7,1,"0,6",29,"25,921","23,6","85,292",69
24/01/2010,24,1,1,"4,6","30,5","26,596","22,7","78,042",54
25/01/2010,25,2,1,0,"30,4","26,046","21,9","81,667",61
26/01/2010,26,3,1,"0,6","31,3","27,221","23,3","79,292",61
27/01/2010,27,4,1,"6,4","31,3","27,921","24,8","77,083",59
28/01/2010,28,5,1,0,"31,2","27,279","23,8","78,625",61
29/01/2010,29,6,1,"4,4","30,6","27,013","23,7","79,125",61
30/01/2010,30,7,1,"1,8","30,5","26,842",24,"80,708",60
31/01/2010,31,1,1,"7,6","30,1","26,817","23,8","81,167",62
01/02/2010,1,2,2,"0,4","30,8","27,517","24,5","75,458",58
02/02/2010,2,3,2,0,"31,3","27,258","23,3","77,208",58
03/02/2010,3,4,2,"0,2","31,3","27,229","23,8","79,875",58
04/02/2010,4,5,2,0,"31,1","27,796","24,8","76,833",63
05/02/2010,5,6,2,0,"31,1","28,113","25,8","73,042",59
06/02/2010,6,7,2,"0,6","31,7","27,279","23,3","75,167",51
07/02/2010,7,1,2,"0,2","31,4","27,271","23,3","77,875",57
08/02/2010,8,2,2,"1,2","31,3","27,913","26,2","75,958",59
09/02/2010,9,3,2,5,"31,1","27,346","24,6","79,833",61
10/02/2010,10,4,2,1,"30,4","27,15","24,6","74,708",59
11/02/2010,11,5,2,"1,8","31,7","26,679","23,5","79,75",55
12/02/2010,12,6,2,"5,4","31,2","26,988","23,3","80,333",63
13/02/2010,13,7,2,"0,2","31,9","26,604",22,"75,292",48
14/02/2010,14,1,2,"0,2","31,1","26,446","23,2","79,583",57
15/02/2010,15,2,2,"0,8","30,4","26,354","22,7","80,458",60
16/02/2010,16,3,2,"0,8","31,2","27,263","25,6","81,667",64
17/02/2010,17,4,2,"17,4","30,3","27,025","24,2","82,375",63
18/02/2010,18,5,2,0,"31,6","26,392","23,8","81,792",60
19/02/2010,19,6,2,"6,2","32,1","27,25","23,2","79,75",60
20/02/2010,20,7,2,"2,8","30,7","28,042","24,9","74,125",56
21/02/2010,21,1,2,0,"31,6","28,15","24,4","71,167",49
22/02/2010,22,2,2,"0,4","31,4","27,658","24,6","76,583",59
23/02/2010,23,3,2,"0,8","32,4","27,896","24,6","78,625",58
24/02/2010,24,4,2,"0,2","31,8",null,"24,7","83,143",62
25/02/2010,25,5,2,null,null,null,null,"69,5",59
26/02/2010,26,6,2,0,"32,8","27,979","24,5","77,125",49
27/02/2010,27,7,2,0,33,"28,817","24,7","72,125",51
28/02/2010,28,1,2,0,"33,1","27,888","23,3","75,75",49
01/03/2010,1,2,3,0,"33,2","27,871","22,6","74,042",48
02/03/2010,2,3,3,0,"32,9","27,546","22,4","74,833",50
03/03/2010,3,4,3,0,"33,2","27,338","21,5","74,333",49
04/03/2010,4,5,3,0,"33,9","27,392","22,2","76,5",53
05/03/2010,5,6,3,0,"33,6","27,838","22,6","74,583",48
06/03/2010,6,7,3,0,"33,4","27,763","22,9","74,833",50
07/03/2010,7,1,3,0,34,"28,358","23,2","73,167",48
08/03/2010,8,2,3,0,"32,9","28,029","22,9","75,625",53
09/03/2010,9,3,3,"2,2","32,9","27,996","23,5","73,208",48
10/03/2010,10,4,3,"0,2","33,2","27,392","21,6","73,167",46
11/03/2010,11,5,3,0,"32,7","27,557","22,6","74,174",53
12/03/2010,12,6,3,0,"33,8","28,392","23,2","69,125",42
13/03/2010,13,7,3,0,"33,9","28,188",22,"70,125",44
14/03/2010,14,1,3,0,33,"28,375","23,4","71,625",51
15/03/2010,15,2,3,"0,2","33,2","28,529","24,8","73,583",53
16/03/2010,16,3,3,0,"33,2","28,908","26,8","62,667",45
17/03/2010,17,4,3,"3,6",31,"25,675","22,6","87,5",62
18/03/2010,18,5,3,"23,8","32,6","27,529","24,1","80,708",56
19/03/2010,19,6,3,6,"32,7","27,479","23,7","82,5",60
20/03/2010,20,7,3,0,"32,7","28,017","24,4","78,375",53
21/03/2010,21,1,3,"3,2","32,5","28,117","24,9","79,583",54
22/03/2010,22,2,3,"0,2","31,9","28,104","24,9","77,417",61
23/03/2010,23,3,3,0,"31,8","27,704","25,1","78,083",55
24/03/2010,24,4,3,"7,2",32,"27,546","23,8","78,292",55
25/03/2010,25,5,3,8,"29,6","24,854","23,9","90,25",69
26/03/2010,26,6,3,18,"30,1","25,725","22,2","85,417",67
27/03/2010,27,7,3,"2,8","31,5","26,729","23,8","82,708",56
28/03/2010,28,1,3,null,32,null,"23,7","75,313",57
29/03/2010,29,2,3,null,"31,8",null,"23,9","76,882",57
30/03/2010,30,3,3,0,"32,3","27,65","23,2","80,083",58
31/03/2010,31,4,3,"8,6","32,4","28,129","24,7","78,75",53
01/04/2010,1,5,4,21,"31,4","26,821","24,3","86,042",65
02/04/2010,2,6,4,"6,8","32,2","27,446","24,3","83,292",60
03/04/2010,3,7,4,"0,2","32,1","28,392","24,9","77,542",53
04/04/2010,4,1,4,8,"31,8","27,433","23,8","79,542",58
05/04/2010,5,2,4,"10,2",32,"27,817","23,9","79,917",56
06/04/2010,6,3,4,"5,6","31,9","27,854","25,6","81,583",59
07/04/2010,7,4,4,"0,2","32,9","27,929","24,3","80,958",55
08/04/2010,8,5,4,"7,8","33,1","28,2","24,7",81,56
09/04/2010,9,6,4,"2,2","29,6","26,642","23,9","84,792",70
10/04/2010,10,7,4,"35,2","28,2","25,358","23,7","90,5",74
11/04/2010,11,1,4,"11,2","30,8","26,029","22,9","85,708",64
12/04/2010,12,2,4,"26,6","31,4","26,483","22,3","84,375",61
13/04/2010,13,3,4,0,"31,7","27,121","23,4","81,375",59
14/04/2010,14,4,4,"0,2","31,9","26,954","23,5","82,292",58
15/04/2010,15,5,4,10,32,"27,063","23,6","82,208",59
16/04/2010,16,6,4,"7,4","31,8","27,688","23,6","81,167",60
17/04/2010,17,7,4,"11,6","30,2","25,596","24,3","91,583",74
18/04/2010,18,1,4,46,"30,5","26,346","23,5","85,5",70
19/04/2010,19,2,4,0,"31,1","27,217","24,1","81,333",58
20/04/2010,20,3,4,"0,6","30,8","26,613","23,2","80,083",57
21/04/2010,21,4,4,"0,2","30,8","25,621","22,3",81,50
22/04/2010,22,5,4,0,"31,2","26,7","22,4","81,333",62
23/04/2010,23,6,4,"18,8",31,"27,029","23,8","83,833",66
24/04/2010,24,7,4,5,"31,1","27,408","23,8","80,042",64
25/04/2010,25,1,4,"2,8","30,9","28,013","24,8","75,375",63
26/04/2010,26,2,4,1,"30,5","25,571","23,2","88,958",68
27/04/2010,27,3,4,"15,6","31,1","26,692","23,4","83,5",60
28/04/2010,28,4,4,"4,4","30,6","26,425",23,"84,5",63
29/04/2010,29,5,4,"0,2",31,"26,583","22,9","81,625",60
30/04/2010,30,6,4,0,31,"26,788","23,4","80,208",59
01/05/2010,1,7,5,0,"31,1","27,104","23,1","80,208",59
02/05/2010,2,1,5,0,"31,6","27,042","22,8","81,542",60
03/05/2010,3,2,5,"0,2","31,3","26,404","23,9","86,458",62
04/05/2010,4,3,5,"5,6","30,9","26,246","22,6","85,25",65
05/05/2010,5,4,5,"16,2","30,7","26,308","23,3","84,417",63
06/05/2010,6,5,5,"4,2","30,8","26,621","22,8","80,792",60
07/05/2010,7,6,5,"0,2","30,7","26,479","21,7","78,417",57
08/05/2010,8,7,5,"0,2","30,3","26,358","23,4","80,875",62
09/05/2010,9,1,5,"1,6","30,6","25,913","22,1","81,5",52
10/05/2010,10,2,5,"0,6","30,8","26,425","23,2","81,708",60
11/05/2010,11,3,5,0,"31,5","26,963","23,4","79,458",55
12/05/2010,12,4,5,"1,6","29,5","25,721","23,9","90,417",76
13/05/2010,13,5,5,"42,8","31,4","26,333","23,8","86,375",64
14/05/2010,14,6,5,"0,6","31,6","26,438","22,9","82,125",59
15/05/2010,15,7,5,0,"30,6","25,754",22,"82,458",58
16/05/2010,16,1,5,"0,2","30,9","25,779","22,7","83,917",64
17/05/2010,17,2,5,"4,4","29,8","24,733","20,6","87,833",69
18/05/2010,18,3,5,"2,8","30,2","26,504","22,6",80,62
19/05/2010,19,4,5,"1,2","30,2","26,017","22,1","80,375",60
20/05/2010,20,5,5,"0,6","30,4","25,713",22,"83,833",62
21/05/2010,21,6,5,4,"30,6","26,25","21,9","81,875",60
22/05/2010,22,7,5,0,"30,7","25,796","22,5","84,833",62
23/05/2010,23,1,5,"9,8",30,"25,571","23,7","88,125",69
24/05/2010,24,2,5,"3,6",30,"26,092","22,6","82,083",62
25/05/2010,25,3,5,10,"29,9","26,292","23,6","82,667",62
26/05/2010,26,4,5,0,"30,3","25,958","22,6","80,375",55
27/05/2010,27,5,5,0,"30,1","25,754","22,1","82,708",59
28/05/2010,28,6,5,2,"30,2","25,963","22,7","81,958",59
29/05/2010,29,7,5,"0,2","30,4","26,104","22,4","81,792",62
30/05/2010,30,1,5,0,31,"25,967",22,"80,958",56
31/05/2010,31,2,5,0,"30,1","24,8","22,2","88,125",64
01/06/2010,1,3,6,2,"32,3","26,363","23,1","81,375",52
02/06/2010,2,4,6,"1,8","30,8","26,588","23,2","81,875",57
03/06/2010,3,5,6,"7,2","30,5","26,438","23,6","84,292",62
04/06/2010,4,6,6,"11,4","29,7","25,033","23,5","91,125",71
05/06/2010,5,7,6,"15,4","30,2","25,171","21,5","85,875",63
06/06/2010,6,1,6,"0,2","30,7","25,725","22,6","84,083",59
07/06/2010,7,2,6,0,"30,2","26,308","22,7","78,875",53
08/06/2010,8,3,6,"1,2",30,"25,283","22,9","83,083",63
09/06/2010,9,4,6,0,"30,7","24,967","20,1","80,042",51
10/06/2010,10,5,6,"0,2","29,6","25,571","22,8","82,667",63
11/06/2010,11,6,6,"3,6","29,2","24,988","22,3","85,875",66
12/06/2010,12,7,6,"7,6","29,9","25,667","22,5","82,375",61
13/06/2010,13,1,6,"4,4",27,"23,671","22,3","90,917",78
14/06/2010,14,2,6,"24,8","26,9","23,467","21,9","87,458",71
15/06/2010,15,3,6,"8,8","27,3","23,642","21,8","89,208",72
16/06/2010,16,4,6,"75,8","26,4","23,746","22,4","93,292",83
17/06/2010,17,5,6,"103,8","29,1","25,096","23,3","90,458",72
18/06/2010,18,6,6,"125,2","29,3","25,729","23,9","89,125",71
19/06/2010,19,7,6,"19,2","29,5","25,704","23,8","85,042",66
20/06/2010,20,1,6,"1,6","29,3","24,929","21,5","83,708",55
21/06/2010,21,2,6,0,"30,2","25,525","22,2","82,083",55
22/06/2010,22,3,6,"7,2","31,1","25,829","22,6","82,958",55
23/06/2010,23,4,6,"20,8","29,3","25,471","23,6","82,083",59
24/06/2010,24,5,6,"0,2","29,2","24,275","20,3","80,125",51
25/06/2010,25,6,6,"1,2","29,5","25,367","21,5","79,125",59
26/06/2010,26,7,6,1,"29,6","25,7","22,5","76,125",54
27/06/2010,27,1,6,"16,4","28,3","24,175","22,5","91,125",74
28/06/2010,28,2,6,"33,2","27,5","24,267","22,9","89,125",72
29/06/2010,29,3,6,9,"28,2","24,267","21,1","84,208",67
30/06/2010,30,4,6,0,"28,9","24,129",21,"83,792",62
01/07/2010,1,5,7,"0,2","28,9","24,229","21,3","83,875",58
02/07/2010,2,6,7,"6,8","28,2","24,033","20,9","85,333",65
03/07/2010,3,7,7,"0,4",29,"24,275","20,4","77,125",53
04/07/2010,4,1,7,"0,2","28,7","23,596","19,6","80,292",55
05/07/2010,5,2,7,"1,4",29,"24,446","21,4","82,083",59
06/07/2010,6,3,7,"1,2","28,6","24,525","20,9","80,25",59
07/07/2010,7,4,7,"0,4",28,"23,671","21,2","86,417",67
08/07/2010,8,5,7,null,null,null,null,null,70
09/07/2010,9,6,7,null,"27,8","24,729","22,7","86,917",74
10/07/2010,10,7,7,"2,6","28,4","24,488","21,3","85,25",68
11/07/2010,11,1,7,4,"28,5","24,117","21,5","89,167",67
12/07/2010,12,2,7,"3,8","29,6","24,729","21,8","86,042",58
13/07/2010,13,3,7,"35,2","28,8","24,554","22,2","87,083",68
14/07/2010,14,4,7,"12,6","29,7","24,717","21,3","83,875",62
15/07/2010,15,5,7,"1,4","29,1","24,567",21,"84,417",62
16/07/2010,16,6,7,"5,6","28,9","24,967",22,"86,083",68
17/07/2010,17,7,7,"29,4","28,4","25,288","22,9","82,792",65
18/07/2010,18,1,7,"0,8","28,1","23,996","21,4","81,5",56
19/07/2010,19,2,7,"1,6","28,1","23,725","20,3","80,625",58
20/07/2010,20,3,7,"0,6","28,4","23,917","20,4","79,5",53
21/07/2010,21,4,7,"5,2","27,7","24,133",21,"83,417",60
22/07/2010,22,5,7,"14,4","27,8","24,321","21,4","84,667",67
23/07/2010,23,6,7,"5,8","27,6","24,254","21,6","80,917",66
24/07/2010,24,7,7,4,"28,3","23,579",20,"82,792",57
25/07/2010,25,1,7,"13,8","26,5","23,596","21,7","84,333",69
26/07/2010,26,2,7,"2,4","27,9","23,825",21,"81,333",61
27/07/2010,27,3,7,"2,4","28,2","24,163","21,1",82,62
28/07/2010,28,4,7,"2,6","28,3","25,254","21,8","73,667",58
29/07/2010,29,5,7,8,"28,2","24,542","21,4","78,25",60
30/07/2010,30,6,7,"5,8","28,5","23,754","21,2","85,833",64
31/07/2010,31,7,7,"10,6","27,6","24,858","22,3","77,958",67
01/08/2010,1,1,8,"0,8","27,8","24,446","20,6","76,583",59
02/08/2010,2,2,8,0,"25,7","22,192","19,3","90,542",75
03/08/2010,3,3,8,"12,6","26,5",null,21,"87,118",68
04/08/2010,4,4,8,null,"28,2","23,591","20,4","79,739",49
05/08/2010,5,5,8,"7,8","27,4","22,621","19,7","87,25",64
06/08/2010,6,6,8,"9,6","24,8","21,483","19,1","93,083",82
07/08/2010,7,7,8,"30,4","26,5","22,663","21,4","88,833",70
08/08/2010,8,1,8,"2,2",28,"23,179","18,9","81,625",61
09/08/2010,9,2,8,"4,8",26,"22,671","21,3","91,375",79
10/08/2010,10,3,8,"7,8","28,4","24,933","21,9","71,625",43
11/08/2010,11,4,8,"4,6","27,4","23,017","20,3","83,417",62
12/08/2010,12,5,8,"5,4","27,3","23,488","20,6","76,417",50
13/08/2010,13,6,8,0,"27,9","24,804","21,7","71,875",59
14/08/2010,14,7,8,0,"28,3","23,667","20,1","78,125",53
15/08/2010,15,1,8,0,"28,3","23,046","18,4",82,56
16/08/2010,16,2,8,0,29,"23,425","19,6","82,542",51
17/08/2010,17,3,8,0,"28,5","23,55","19,5","81,333",59
18/08/2010,18,4,8,3,"26,7","23,433","21,2","79,583",63
19/08/2010,19,5,8,"0,6",27,"22,538","19,4","80,833",61
20/08/2010,20,6,8,"2,2","27,7","23,083","19,4","80,625",58
21/08/2010,21,7,8,"8,4","26,1","23,038","20,9","89,958",79
22/08/2010,22,1,8,"23,6","28,1","23,538","21,9","87,667",69
23/08/2010,23,2,8,"25,8","27,5","23,425","20,4","82,958",63
24/08/2010,24,3,8,"6,4","28,1","24,225","21,2","80,042",62
25/08/2010,25,4,8,"0,2","27,4","23,25","20,3","85,583",66
26/08/2010,26,5,8,"3,4","28,1","24,279","21,6","83,625",62
27/08/2010,27,6,8,"8,4","28,4","24,671","22,4","80,417",63
28/08/2010,28,7,8,"0,6","28,2","23,596","20,1","83,208",62
29/08/2010,29,1,8,"6,8","28,2","24,333",22,"83,292",63
30/08/2010,30,2,8,"2,2","27,9","24,092","20,5","78,917",50
31/08/2010,31,3,8,"3,4","28,2","24,9","21,5","77,042",57
01/09/2010,1,4,9,"4,2",32,"24,158","21,9","80,167",51
02/09/2010,2,5,9,"16,4","27,5","24,558",21,"75,917",60
03/09/2010,3,6,9,"1,2","28,3","24,958","21,2","69,375",46
04/09/2010,4,7,9,"1,2","27,1","23,542","21,4","81,5",59
05/09/2010,5,1,9,"4,4","28,1","23,788","20,7","76,125",42
06/09/2010,6,2,9,"0,2","28,2","23,142",18,"75,833",42
07/09/2010,7,3,9,"2,8","27,9","23,9","19,8","78,542",57
08/09/2010,8,4,9,"0,8","29,1","23,871","19,5","81,833",57
09/09/2010,9,5,9,0,"28,1","25,058","22,4","79,333",65
10/09/2010,10,6,9,"3,8","27,9","24,354","20,7","75,333",47
11/09/2010,11,7,9,1,"28,3","24,538","21,6","74,5",54
12/09/2010,12,1,9,"1,8",28,"24,846","21,8","76,667",60
13/09/2010,13,2,9,0,"28,7","25,7","23,3","69,958",57
14/09/2010,14,3,9,"2,4","26,3","24,442","22,6","82,125",71
15/09/2010,15,4,9,"0,6","27,9","24,688","19,9","74,375",60
16/09/2010,16,5,9,0,"28,7","25,142","20,2","72,375",50
17/09/2010,17,6,9,"0,2","28,2","25,229","21,7","74,667",57
18/09/2010,18,7,9,0,"28,7","24,746","20,7","77,792",52
19/09/2010,19,1,9,0,"28,6","25,021","21,5","76,917",57
20/09/2010,20,2,9,0,"28,5","24,221","20,8","77,375",54
21/09/2010,21,3,9,0,"28,9","25,479","22,2","74,167",60
22/09/2010,22,4,9,0,"28,9","25,696","22,7","70,042",57
23/09/2010,23,5,9,0,"28,7","24,379","18,9","75,375",53
24/09/2010,24,6,9,0,"27,6","24,35","21,3","78,958",62
25/09/2010,25,7,9,0,"28,2","24,958","22,9","79,792",67
26/09/2010,26,1,9,0,"28,4","25,179","23,1","77,083",62
27/09/2010,27,2,9,0,"28,5","25,446","21,6","72,708",56
28/09/2010,28,3,9,0,"28,3","24,979","21,5","80,625",61
29/09/2010,29,4,9,0,"30,5","25,217",20,"76,958",48
30/09/2010,30,5,9,0,"29,9","25,817","21,6","72,667",49
01/10/2010,1,6,10,0,"30,6","24,971","20,1","79,917",53
02/10/2010,2,7,10,0,"30,8","26,317","22,6","76,75",50
03/10/2010,3,1,10,0,"29,5","25,967","23,2","76,458",59
04/10/2010,4,2,10,0,"29,8","25,363","22,1","76,083",49
05/10/2010,5,3,10,0,"29,5","24,542","20,6","75,25",48
06/10/2010,6,4,10,0,"29,8","24,1",19,"77,375",52
07/10/2010,7,5,10,0,"29,7","25,075","19,9","77,417",55
08/10/2010,8,6,10,0,"30,6","26,017","20,9","72,75",46
09/10/2010,9,7,10,0,"30,5","25,346","20,3","77,417",53
10/10/2010,10,1,10,0,"30,7","25,875","21,1","76,833",57
11/10/2010,11,2,10,0,"30,4","26,896","24,7","71,75",50
12/10/2010,12,3,10,0,"29,6","26,396","24,3","73,333",59
13/10/2010,13,4,10,0,"30,1","26,608","24,4","70,333",50
14/10/2010,14,5,10,0,30,"26,717","24,8","70,083",50
15/10/2010,15,6,10,0,"30,4","26,842",25,"66,167",48
16/10/2010,16,7,10,0,"29,7","26,058","23,2","71,375",50
17/10/2010,17,1,10,0,"30,1","26,183","23,1","75,458",57
18/10/2010,18,2,10,0,"30,8","26,458",23,"73,167",51
19/10/2010,19,3,10,0,"31,5","26,996","23,1","73,708",53
20/10/2010,20,4,10,0,"31,5","27,004","22,3","72,917",55
21/10/2010,21,5,10,0,"31,1","26,95","23,5","73,333",55
22/10/2010,22,6,10,0,"31,1","26,463","23,9","75,583",54
23/10/2010,23,7,10,0,"27,4","24,429","22,5","88,333",72
24/10/2010,24,1,10,0,"28,5","25,071","23,4","84,542",69
25/10/2010,25,2,10,0,"29,7","26,108","22,6","76,125",57
26/10/2010,26,3,10,0,"31,4","26,808","22,1","71,792",48
27/10/2010,27,4,10,0,"29,6","26,304","22,9",76,60
28/10/2010,28,5,10,0,"31,6","26,396","22,6","77,208",54
29/10/2010,29,6,10,0,"31,3","26,246","23,6","78,333",54
30/10/2010,30,7,10,0,30,"25,888","22,2","78,667",55
31/10/2010,31,1,10,0,"30,3","25,742","21,4","77,75",54
01/11/2010,1,2,11,0,"30,7","27,142","24,5","70,792",53
02/11/2010,2,3,11,0,"30,5","25,875","21,2","75,25",55
03/11/2010,3,4,11,0,"30,4","25,488",21,"75,333",55
04/11/2010,4,5,11,0,"30,8","25,913","21,4","77,917",57
05/11/2010,5,6,11,0,"29,9","26,613","23,5","76,833",64
06/11/2010,6,7,11,0,"30,5","26,808","22,4","70,917",53
07/11/2010,7,1,11,0,"30,5","26,471","22,4","76,542",56
08/11/2010,8,2,11,0,"30,5","26,888","22,7","70,042",49
09/11/2010,9,3,11,0,"30,1","26,158","22,6","68,292",46
10/11/2010,10,4,11,0,"30,8","25,238","20,8","78,083",54
11/11/2010,11,5,11,0,"30,7","26,854","24,3","73,25",55
12/11/2010,12,6,11,0,"30,6","27,013","24,4","71,25",50
13/11/2010,13,7,11,0,"30,2","26,854","24,2","72,667",55
14/11/2010,14,1,11,0,"30,1","26,596","22,5","71,042",53
15/11/2010,15,2,11,0,"30,1","25,521",21,"74,167",51
16/11/2010,16,3,11,0,"30,8","26,533","22,3","68,25",46
17/11/2010,17,4,11,0,"31,4","25,738","19,7","71,125",47
18/11/2010,18,5,11,0,"31,2","26,238","20,1","69,833",44
19/11/2010,19,6,11,0,"31,6","26,921","21,9","70,958",50
20/11/2010,20,7,11,0,"31,5","27,163","21,5","68,458",45
21/11/2010,21,1,11,0,"31,6","27,188","22,5","67,625",49
22/11/2010,22,2,11,0,"31,1","27,113","24,5","64,833",49
23/11/2010,23,3,11,0,"31,8","27,333","24,4","63,792",41
24/11/2010,24,4,11,0,"31,9","26,967","21,2","68,75",50
25/11/2010,25,5,11,0,"31,9","27,846","25,8","67,542",52
26/11/2010,26,6,11,0,"31,6","27,633","25,2","65,875",49
27/11/2010,27,7,11,0,32,"27,846","25,1","65,75",44
28/11/2010,28,1,11,0,"32,3","27,925","25,4","65,458",44
29/11/2010,29,2,11,0,"31,4","27,567","25,4","65,917",48
30/11/2010,30,3,11,0,"31,7","27,317","25,4","65,667",46
01/12/2010,1,4,12,"0,6","30,9","26,754","21,6","71,125",50
02/12/2010,2,5,12,0,"30,5","27,229","25,6","67,542",52
03/12/2010,3,6,12,"1,4","29,3","26,358","24,3","69,583",53
04/12/2010,4,7,12,0,"31,5","26,575","21,7","72,375",51
05/12/2010,5,1,12,"0,2","31,7","27,154","22,1","70,625",47
06/12/2010,6,2,12,0,"32,2","27,096","21,8","71,083",52
07/12/2010,7,3,12,0,"32,2","26,871",22,"72,208",51
08/12/2010,8,4,12,0,"31,2","26,913","22,6","73,833",54
09/12/2010,9,5,12,"0,6","33,1","27,821",24,"70,125",47
10/12/2010,10,6,12,"0,2","30,8","26,85","24,2","76,708",58
11/12/2010,11,7,12,0,"32,3","27,733","22,9","71,917",50
12/12/2010,12,1,12,0,32,"27,554","22,7","69,917",48
13/12/2010,13,2,12,"0,2","31,3","26,75","22,5","73,375",53
14/12/2010,14,3,12,"0,4","31,3","27,346","23,4","69,625",52
15/12/2010,15,4,12,0,"31,8","26,858","22,5","72,417",49
16/12/2010,16,5,12,"5,4","31,2","27,1","24,6","72,292",50
17/12/2010,17,6,12,"9,6","30,3","26,083","23,3","78,792",56
18/12/2010,18,7,12,"42,2","30,3","25,696","21,4","79,5",55
19/12/2010,19,1,12,"5,6",31,"26,608",23,"76,917",57
20/12/2010,20,2,12,0,"30,8","27,029","22,3","74,25",60
21/12/2010,21,3,12,"1,4","29,2","26,817","24,8","79,333",70
22/12/2010,22,4,12,"6,8","30,5","26,938","25,2","74,458",54
23/12/2010,23,5,12,0,"30,4","26,354","21,8","75,208",55
24/12/2010,24,6,12,"0,4","29,8","26,733","23,9","77,542",61
25/12/2010,25,7,12,0,"31,5","26,663","21,7",74,44
26/12/2010,26,1,12,0,"30,6","27,121","22,2","72,083",55
27/12/2010,27,2,12,0,"30,8","26,163","20,9","71,667",46
28/12/2010,28,3,12,3,"30,4","25,521","21,4","76,792",50
29/12/2010,29,4,12,0,"31,6","26,704","21,6","71,75",47
30/12/2010,30,5,12,"0,2","31,5","26,879","22,4","74,042",55
31/12/2010,31,6,12,0,"31,2","27,263","21,9","67,833",48
01/01/2011,1,7,1,0,"30,6","27,417","25,1","69,833",57
02/01/2011,2,1,1,0,"31,1","27,642","25,4",69,54
03/01/2011,3,2,1,"1,6","31,5","27,071","22,5","72,208",51
04/01/2011,4,3,1,"28,6","29,4","26,221","23,9","81,542",65
05/01/2011,5,4,1,"1,4","30,4","26,45","23,4","76,875",53
06/01/2011,6,5,1,3,"30,6","26,617","22,8","75,875",57
07/01/2011,7,6,1,"0,6","30,5","26,979","22,8","70,667",53
08/01/2011,8,7,1,"0,2","30,4","27,113","23,7",70,48
09/01/2011,9,1,1,0,"30,9","26,804","22,2","72,625",52
10/01/2011,10,2,1,"0,4","30,5","26,667","23,7","77,125",59
11/01/2011,11,3,1,3,"31,7","26,783","22,2","78,042",54
12/01/2011,12,4,1,1,"31,3","27,879","24,8","75,042",61
13/01/2011,13,5,1,"0,4",31,"27,65","25,8","71,042",56
14/01/2011,14,6,1,0,"30,9","26,604","21,9","71,417",50
15/01/2011,15,7,1,"1,8","30,8","26,083","21,5","77,292",55
16/01/2011,16,1,1,0,"31,7","26,721","21,7","73,417",48
17/01/2011,17,2,1,0,"31,5","26,913",22,"72,917",51
18/01/2011,18,3,1,0,"31,7","26,808","21,3","71,167",45
19/01/2011,19,4,1,"0,2","31,9","26,725","22,1","75,625",52
20/01/2011,20,5,1,0,"31,9","26,833","23,2","75,292",55
21/01/2011,21,6,1,"15,8","27,6","24,858","22,8","86,708",70
22/01/2011,22,7,1,"25,4","29,4","24,938",23,"86,333",62
23/01/2011,23,1,1,"10,2",29,"24,471","22,6","88,875",68
24/01/2011,24,2,1,"9,2","29,2","24,75","22,7","87,458",64
25/01/2011,25,3,1,"11,6","30,6","25,333","22,5","83,167",56
26/01/2011,26,4,1,0,"30,9","25,888","21,1","80,167",59
27/01/2011,27,5,1,"2,6","30,8","26,55","23,5","80,375",64
28/01/2011,28,6,1,"9,4","30,3","26,221","23,1","78,958",55
29/01/2011,29,7,1,0,"30,6",26,"21,8","80,417",60
